,lat [deg],long [deg],RA [deg],dec [deg],vlos [km/s],dist [kpc],pmRA [mas/yr],pmdec [mas/yr]
75,12.306105541,194.397641979,105.081254398,21.4738091375,-27.5331467318,225.593166751,-0.0814816986661,0.0137964863667
76,8.87978942555,195.31790231,102.185556793,19.335388802,-27.2746206937,254.87542942,-0.0233305959599,-0.00144216048457
77,-1.73350243164,196.114217223,92.7259217618,13.9709854373,13.478759569,279.966843262,-0.033579780568,0.00104818790879
78,-7.22112324802,191.704627762,85.5447163356,15.0131655467,-106.793285205,287.226477788,-0.086667749554,-0.00169719354502
79,-4.46056001027,192.021288697,88.179656384,16.1060036792,117.633646076,304.022846891,0.0552696319207,-0.00496038828995
80,-16.7618682099,166.93821911,61.4573795342,27.4689370995,46.3949907835,229.440398406,-0.00768455828615,-0.0132602446617
81,-16.8440094816,174.821080384,67.1119368071,22.4531280236,2.42231140112,209.38335853,-0.0077904188718,-0.0136776475969
82,38.9959262183,175.46768248,131.189384472,40.6767319539,54.0516154274,419.141621631,0.0141104429154,-0.0162845280962
83,27.4060294344,189.252184927,118.971775797,30.3228433837,-36.2634488963,322.352751378,0.0204385896608,-0.00945740993799
84,13.6868840695,213.4470709,114.646941035,5.85332531364,61.7581554761,403.302923974,0.0232272799742,-0.00193814962181
85,-1.13156665604,207.970553517,98.9245891812,3.93790523936,-84.9785559632,483.941520441,-0.0381061497669,-0.0014822517249
86,-5.26299540541,203.012193597,92.9316581964,6.36666799726,57.2522623349,447.522027615,0.0133063768047,-0.00116589000698
87,17.662207724,250.723371824,137.753348929,-21.6564844143,20.5965612383,383.564911473,0.0178750246222,0.0137937562195
88,25.8138624994,253.091713488,145.74427354,-18.009021615,58.2742034217,329.253728652,0.0324786011747,0.029449422142
89,-2.92922643378,243.54921879,114.595107064,-27.1688009459,78.8732475281,386.658808525,0.0251693560256,0.0106892225517
90,-10.4161662656,242.684636718,106.509108019,-29.5431983799,-36.9741007174,319.249022139,0.0177240083883,0.00594065773538
91,-20.4978856748,243.996512658,95.9320906135,-33.7709064584,111.046673622,338.082795456,0.0391671934657,0.00893184796129
92,-11.7448974473,251.279478953,109.546325132,-36.2201305229,51.7293508018,440.734353345,0.0130052118996,0.00571283180176
93,-26.490028007,256.731720541,92.4873162007,-43.2334087584,110.508722383,383.640435244,0.024289353404,0.00280896338643
94,-6.20984886398,265.579583972,126.119290279,-43.0144622485,-68.909595474,266.621287696,0.0211845072345,0.0209397709856
95,-8.10857268479,262.733438129,121.416953908,-42.1457366746,-26.2839516601,262.309560275,-0.0242928188585,-0.00641525954785
96,-2.48412118201,271.07966318,135.910109571,-44.2782714449,-39.0551518938,238.964310221,-0.0431879853514,-0.0441017483974
97,10.5726175016,290.467244583,172.813425784,-43.9750420441,80.1209457938,286.545056907,-0.0149196497255,0.0659454106667
98,7.44077303045,288.435665336,168.119568384,-45.4042666721,35.8134591841,293.409326568,-0.00643234510759,-0.0492056125141
99,16.5411843797,265.761490111,148.405728007,-31.314350688,75.500586461,280.191995545,0.0334079876371,0.0607685560632
100,25.3056947683,271.634385099,159.613061977,-27.9956924943,20.2459883243,298.016149973,-0.0218917446633,-0.0493846190489
101,12.4589758969,272.417946966,151.590289062,-37.0725797909,-42.3585759484,307.197281997,0.011837826981,0.0255275682249
102,23.2105071611,262.814420242,150.864536479,-25.3240885968,65.8922390196,312.288876652,0.026338859127,0.0449868413379
103,14.0615694982,257.975594286,139.995385201,-28.4701204246,52.4178280639,285.853636037,-0.043874997495,-0.0377798549432
104,10.5383265909,271.237550073,148.839181012,-37.6980189275,49.3487097627,404.978849637,0.00852497029499,0.0209416485438
105,13.830032389,276.075410512,156.494577275,-37.7363319867,-7.93064503509,368.899323586,0.00539237426815,0.0207830137155
106,-22.8609620556,241.910250891,92.4097931076,-32.9036243059,-28.5690379139,1212.06956228,-0.013026126149,-0.00203895955696
107,-16.2239019199,215.973208534,89.037295304,-9.90026606336,-26.9904611455,1276.37541906,-0.0124238720644,-0.00110254341471
108,3.50221315892,195.92255141,97.4179370853,16.5209440632,-36.3341978013,1373.2413067,-0.0110811197233,0.000189471350018
109,2.61072846662,189.302106546,93.2835942349,21.6244176297,-47.2291202991,879.186196497,-0.0187167011598,0.000352372752564
110,12.8974973822,189.71551697,103.583395999,25.4861052088,-69.1369127237,683.722792653,-0.0236856154798,0.00276391631588
111,20.1506686756,175.842595879,105.68379597,37.9273472717,-66.6811713248,708.122420828,-0.0223818156061,0.00466119982917
112,-27.2287397027,210.072766493,76.5639758032,-9.75444181947,-11.0272721993,1342.71770469,-0.0118920759821,-0.000606521587716
113,9.82871349477,190.73249217,100.976439149,23.4936151899,-34.357901522,1769.77628856,-0.00829548175931,0.000641389753484
114,0.83085609614,246.980252786,120.290674506,-28.0451944403,-49.8769037581,1533.94053004,-0.00793087128348,-0.00360157908066
115,-18.1145462111,127.588303893,18.3449813633,39.9938255717,37.5350641779,2758.03480549,-0.00254772228584,-0.00352402907019
116,-57.7184174755,158.102730692,30.1357648766,-0.0655110660156,47.1758713492,2135.51124699,-0.00459447804574,-0.000477288565455
117,-35.7765204246,126.329652482,15.2746899343,25.7846682285,43.8458209816,1825.69440523,-0.00354791278166,-0.00398158127635
118,-24.1361297039,177.160459486,62.7917072314,16.3984715113,6.89521373393,1609.16261799,-0.00932836467314,-0.00149846003866
119,-27.8612135521,167.099822017,53.2771642793,19.9729920373,22.8727896443,2280.67950542,-0.00600942585695,-0.00151935189028
120,10.6711706619,129.078524931,32.2889094012,54.5898456819,-6.08197343799,1381.17566493,-0.00767136641035,-0.00842907119932
121,13.5060088457,154.242705768,83.0895658821,48.4464136871,-39.5189042029,864.322228249,-0.0198382768572,-0.00146487656845
122,29.1356425583,169.243984161,115.989724542,43.5662594886,-64.678400124,809.412269457,-0.0170974306968,0.00661501990024
123,14.5604797487,141.022508378,68.4632526568,53.4474931327,-22.601198976,1130.05273011,-0.0141848998522,-0.00424296241615
124,12.5357629964,139.379610083,61.3684863938,53.3631605108,-22.6700935744,1049.52938167,-0.0149840330606,-0.00628235854434
125,11.4747992012,147.570628376,72.4326061068,50.5827394829,-33.8691182973,870.894545612,-0.0196439393448,-0.00458770524455
126,-7.44735244932,171.25253062,72.7289963424,30.1670963147,-15.7546378959,1173.52156763,-0.0137644780057,-0.00188097030596
127,-16.6232657288,174.710936563,67.2193516455,22.6588917718,-15.5488250176,992.358859358,-0.016587796813,-0.00259708682345
128,-13.8064539066,168.578181397,65.1431305462,28.2832453329,-11.0597367901,1087.06152765,-0.0147327946355,-0.00293553297482
129,-20.0436984832,156.848326628,50.5172849406,30.6507650837,12.8749918638,1524.33950099,-0.00900959323223,-0.00336988168716
130,-0.849363044156,153.389888499,63.2173863216,43.4832680606,-2.00649007402,1643.39679231,-0.00912597300569,-0.00266285194027
131,-21.661131574,116.887755149,4.76300468661,37.2745018156,21.5221275473,1191.30470461,-0.00350810954588,-0.00949512638064
132,-18.7715816121,122.918941355,12.1436163092,39.6773408666,17.5808351114,1186.26106578,-0.0052347713941,-0.00961642498974
133,-41.5090966032,126.766213054,15.2702622421,20.535545121,29.8868636761,1197.8505595,-0.0060318031791,-0.00549333904008
134,-59.2676322427,152.37236746,26.7660448311,-0.0111610585341,20.0960351626,1011.05577141,-0.0108026416166,-0.00111859320589
135,-27.1460324631,142.629786826,32.9578863826,30.6036857563,8.55697189844,1014.04674227,-0.0117643255253,-0.0077010882895
136,-47.9257428803,131.090170265,17.8353727708,14.1751239024,4.95711296073,800.863974238,-0.0127962035785,-0.00732527340886
137,-24.1169046407,129.217001627,19.4690934217,35.3811812205,5.14922712526,915.542846996,-0.0100030119319,-0.0118409808569
138,-45.9033744634,125.751610978,14.2482375366,16.4205007094,-23.9215769034,520.618599963,-0.0276415451777,-0.0186052964297
139,-38.7563315062,131.848396276,19.7560427061,22.6892974701,-21.0416098664,557.583670854,-0.0255936554491,-0.0188607877299
140,-58.112367927,153.025561202,27.579079995,0.876974850561,-17.6875147838,567.195763904,-0.0298888734092,-0.00308520732134
141,-54.7742083474,151.485776723,28.263217655,4.24936441915,-18.5512082306,563.732219703,-0.0302705621774,-0.00521398218997
142,-45.3621923694,160.426750537,37.91872365,9.62095736979,-33.8416638124,461.133284083,-0.0456718044386,-0.00951394177561
143,-29.5039604788,134.363576144,23.9247111401,30.4181474324,-45.4794990199,370.304128705,-0.054310617986,-0.042664317878
144,-25.865354235,124.045531813,13.4237868467,34.2615499248,-45.7602242581,366.11140725,-0.0435336414692,-0.0563333581408
145,-33.8383624999,135.520758174,23.9761235123,26.5639807046,-51.0168582956,304.66831611,-0.0792242743765,-0.0532750845858
146,-54.2349517276,141.018862573,22.7425995045,6.87722245977,-52.3879298509,311.277123203,0.00291868911113,-9.06583999265e-05
147,-42.4111791349,114.564890966,5.64188133838,19.3673685071,-36.4086753996,405.147140194,-0.0365318618776,-0.0401460426383
148,-35.7540715795,122.469952677,11.7678991208,25.8726004582,19.8561225834,474.755103175,0.00272320109747,-7.34130332197e-05
149,-31.008972314,123.712006195,12.9663875025,30.0111722766,-38.5162631015,411.415397571,-0.0367190921242,-0.0433929393977
150,-20.2099953244,141.592784073,34.9286578781,36.1358752702,73.9950026582,495.962295614,0.00601621223636,0.00183909203305
151,-24.2348077528,170.156387339,58.0674266279,20.7186053857,-25.7001157079,691.055878461,-0.0259526065111,-0.00534710132837
152,-3.30029475393,163.597421103,70.6316259802,37.0421468422,-35.2581722144,756.257060801,-0.0235128715106,-0.00421110065864
153,-8.20677083605,133.230157979,29.2496010475,45.7828942899,-0.471103378123,1046.7473203,-0.0102442742253,-0.0107583547962
154,8.08233044756,131.669380134,36.8738734339,53.4945525161,-17.8204111894,980.271141774,-0.0126047005348,-0.0122261345191
155,6.99581348129,141.731505106,56.7418947407,51.0266149969,-67.469440333,433.729613217,-0.0489440480878,-0.0250394875818
156,26.9002273586,163.132799691,110.944806888,46.6127772586,81.9722881179,425.006297323,0.0169015141525,-0.00845250131725
157,29.2376266726,138.896016632,113.473071256,55.568948734,9.422208889,439.553648344,0.00741722025938,-0.00609952740254
158,23.2215580912,141.7609672,92.5743302515,54.6597455228,57.0329884662,479.8940648,0.00966153216,0.0020005669774
159,22.8183327912,139.849842579,89.2529414339,55.0997194863,-71.6344229858,506.813017803,-0.0394653983193,-0.00393682359118
160,20.6816210515,112.779544643,315.817987506,56.1471965927,17.2907365666,476.98591083,-0.00125265850246,0.00910981575224
161,19.8783505273,124.46084438,22.6397415697,56.7872282908,10.7007824649,455.469918235,0.00638313505279,0.00633013088986
162,49.1317725121,143.900539237,161.353036464,51.0335638171,68.1081496522,281.490962408,-0.0108204645291,0.0333151678469
163,47.4347182425,142.95113556,159.676197332,51.7634644758,18.0683545961,279.254435237,-0.0145396647224,0.0476289922289
164,48.3145569891,129.400328223,180.578463637,53.3099300586,-28.3312240114,247.301265751,0.00774441721293,0.0556911179027
165,44.9718806577,134.662256091,167.38847391,53.8793931892,-46.5545006447,231.595152584,-0.0135876500379,0.0543538073872
166,41.2070127604,143.614703964,146.807304464,53.1897771237,-38.5495237077,235.612880074,-0.0505153188339,0.0455109018301
167,36.452322553,144.372645197,134.197042209,53.7683806248,-55.3764254502,237.469189478,-0.0184862694835,0.00784986505632
168,46.7565660067,120.998018026,196.377701846,54.0358174119,-72.0564353292,209.167498504,0.0246120127949,0.0535788435221
169,49.0126032988,119.730161075,198.041961782,53.2133103963,-56.4166112732,235.303080184,0.0242124724516,0.0299165886076
170,32.4649789125,107.104478378,258.198667139,55.4309690258,-61.3262539956,316.24579192,-0.0144559909639,-0.0132434327964
171,14.3610741085,147.040937511,76.9042504379,51.5438367831,-65.9415221982,199.232923318,-0.0824626357255,-0.0204322780384
172,19.6879938904,153.833789285,93.6539049513,50.0080460933,113.401269267,291.242566361,0.0610127078932,-0.00874645212158
173,31.2565730131,149.506658351,118.140715609,52.5950336373,56.186482989,280.19493502,-0.0302275618525,0.0222410160276
174,29.8865437558,142.133907952,115.215091735,54.8053482437,-53.5921901786,313.831318802,0.0133673341446,-0.0215120341235
175,11.6314416783,154.235063338,80.1328429783,47.917522948,123.779812834,282.070649526,0.0656420426805,0.00268662780547
176,6.34861395395,138.578463822,50.1872428057,51.6145305668,-103.86549743,232.644629782,-0.121548736659,-0.0760721636411
177,-0.584748855608,118.375959729,2.47135884366,50.4307689854,-49.5246344543,463.856377514,-0.0132645444824,-0.0506489545049
178,-16.7402950965,105.248144458,348.872352138,38.7981632109,-53.8535846356,318.47321853,-0.00629416362132,-0.0929381090538
179,-10.9154203611,103.758018519,343.699791299,42.1644910779,-45.8287442186,420.052424401,0.00461408884806,-0.0587245650658
180,-39.8628364522,128.334365719,16.6816635457,21.9759666668,-47.4729532052,270.815589026,-0.0947389380017,-0.0678022555677
181,-11.2836340524,122.704757579,11.786765417,44.7249371161,77.1640311257,134.949247034,-0.0459789808257,-0.0320355171794
182,-10.9641848192,113.570826701,357.583787397,44.2498257871,-11.8759206828,180.101000686,0.0693696262066,0.200228169885
183,-10.8794481101,117.634707062,3.79211540641,44.7582504744,35.979201984,150.25983156,-0.0305373982681,-0.0301925353799
184,-16.6758788477,111.034913092,356.105027184,40.1037134306,-28.91955135,144.74036851,-0.0395124801965,-0.054503093016
185,-16.9349802034,111.577225789,356.899026011,40.0178591727,40.7545148321,142.156464224,0.0232587557874,-0.0862492383503
186,-20.6821423667,109.155949484,355.236539208,36.8948204778,35.552633291,144.580569847,-0.0409935694173,-0.0394400016973
187,-23.1056949829,107.435787005,354.174568134,34.7245191128,41.1710419253,140.678515206,-0.0367887639535,-0.0581025374497
188,-25.0245945537,118.11670754,6.68061251441,34.7719437711,18.9594880275,146.936880958,-0.0257012502953,-0.0634760794248
189,-26.6664160921,125.388563519,14.8847137324,33.5843649833,13.4146514391,151.77896689,-0.0252203267219,-0.0532649577238
190,-33.1204638636,115.208657106,4.78895348315,27.8026804945,-45.2689511421,156.54557167,-0.0036845012011,-0.0252925156503
191,-32.8530947528,114.423870952,3.99913825113,27.9506156688,-50.7487179173,186.100986788,0.0285857552632,0.0428904830046
192,-28.1756283915,104.572819616,353.136795155,30.0911904426,31.491937746,144.079325738,-0.0480476221354,-0.0320394923006
193,-27.6769468082,108.369499546,356.752356597,31.3397672102,-28.0072010077,143.907117629,-0.0294724531695,-0.0644388802343
194,-29.110629887,106.680122331,355.539961064,29.8241110201,41.3735680387,142.312731625,-0.0240654629934,-0.065562360965
195,-31.5915475103,107.563352927,357.195522176,27.953651409,-15.2682101233,145.101360117,-0.0271362765679,-0.0598942781505
196,-33.1931153096,110.780600227,0.644361471014,27.1683040707,30.7437571921,147.947757114,-0.0157386707065,-0.0692037342421
197,-27.7568695569,100.380579462,348.926414868,29.2723451302,50.895938865,130.89483111,0.0344048016151,-0.142165094011
198,-25.331560804,97.2383940118,344.744812651,30.1258270146,75.3431257882,130.582798076,0.0341920722068,-0.111963872569
199,-26.5268991148,96.3008491039,344.508611237,28.8840494885,-53.3265502405,133.790667909,-0.0349347393019,-0.0851941707596
200,-31.3350869076,92.2290854326,343.5884099,23.6195767642,-33.4230724493,146.790590121,-0.00766419322607,-0.327958905562
201,-31.3549391316,92.9657404878,344.200391853,23.8865370211,22.0731046355,145.158833444,-0.0237655531709,-0.0716863176248
202,10.6792046769,99.7518275349,315.156167041,50.8144489912,17.8850303546,203.058934252,-0.0293619629188,0.0542711932917
203,-21.7878047552,91.0536504881,336.880146158,30.2935513313,-85.2441838353,123.105809078,-0.0521877007795,-0.073861321498
204,-21.6316029888,94.4839295725,339.993365762,31.8290206161,59.8731187512,141.992015083,-0.0210172100819,-0.0621219794303
205,-21.2098487421,94.6569439879,339.901280319,32.1980387673,88.2507188201,131.294929724,-0.019298525016,-0.0621006254664
206,-16.2450306674,94.0875245855,336.089197772,35.373830311,93.3745193327,120.120868398,0.0868121910733,-0.130649143057
207,-18.7638823743,102.213856242,346.381089572,36.5479861049,62.5761301895,136.406929034,-0.0488580465068,-0.0433129160567
208,-17.2291911921,83.7902808566,327.238202011,29.8359411209,-78.8135654375,124.516088771,-0.038128175407,-0.0866159382409
209,-4.79887383347,101.154257535,335.68508966,44.8438174355,-53.999609199,134.311941958,0.0348031615374,-0.0991804604488
210,-11.3980119968,106.018356642,346.994651569,42.4798332675,99.0558026926,119.48505376,-0.0597801762196,-0.055291265377
211,2.09063322435,110.553666965,344.91656463,50.6014208148,96.7895913294,195.830557103,0.0161444443341,0.190364917172
212,21.4348169264,100.107475849,293.219407251,53.2560900508,112.638458503,227.878366321,-0.0902675127802,0.105008681803
213,48.6331508528,115.032434172,206.335115216,53.0817010604,-80.2347292908,215.831158378,0.0296369102393,0.0156144082061
214,30.961418413,125.463223875,161.716661743,57.1448246073,-101.354533081,169.942120481,-0.0355386635102,0.0302104479026
215,33.2429547617,128.045656086,156.794769814,56.8332491469,-25.8736901212,179.710910378,0.00999650166491,-0.0845915650597
216,30.687838051,124.756482127,167.636680122,57.1809171353,-89.9465491985,174.326142771,-0.0166893923691,0.0456214589593
217,32.617133822,114.786861596,243.985773725,56.6189701725,20.3616725135,193.250233609,-0.073559721995,0.000343754246472
218,35.3647385942,101.708530481,253.243960302,53.9117287526,17.5530187753,157.263305266,-0.262642021031,0.00570175014835
219,40.3033875114,102.165750477,240.014156465,53.312363175,-96.6908150838,161.536878647,0.140161547661,0.00360711367113
220,48.3319578496,106.680131192,219.064931499,52.1519747759,-103.531262522,169.490637465,0.0890831445377,0.0500627272299
221,50.255106766,93.2039761034,228.88202547,48.497874112,-86.43206799,175.355292981,0.124292370933,0.0235825292271
222,43.9292042252,86.9754676684,242.853168788,47.9221250887,-105.461198558,172.70552033,0.10783177012,-0.0123705613592
223,31.456298007,94.8097936668,266.020344541,52.0052286848,-141.425935105,183.603211639,-0.0329572321609,-0.0422796752315
224,25.8458055483,83.3571575675,275.484072285,46.7470210519,-121.657748086,137.753356179,0.181191568671,-0.0679793140246
225,34.0988661522,67.1993083085,259.761015088,38.4580994744,-130.632915995,152.801732055,0.118773902513,-0.0245572100672
226,9.52828861796,85.7420731384,301.99154301,44.2930053982,9.82914755497,206.189190281,-0.0396850182976,0.0379962388691
227,-6.78436655388,103.197678535,340.080684571,44.4100946581,-18.3981573884,691.753018159,0.00489332796958,-0.0252636459136
228,8.13921459967,87.1720255496,305.057075783,44.560363073,-25.3736489367,723.827872692,0.0192328621568,-0.0170037722669
229,6.66133251917,117.661869564,357.545850386,53.364189495,-6.1126752057,1100.36995875,-0.00182704229041,-0.0142829891928
230,-12.1077267533,118.280066878,5.02520494541,44.0372513204,14.2316221301,1193.10698412,-0.00350456298382,-0.0107570669546
231,-23.9868892999,108.857993112,356.055736571,34.3474011734,40.0685101067,1724.11315451,-0.000803458639867,-0.00578286163507
